,Month,variable,FPO,IPO,Right,Equity_Public Issues,Upload_Date
0,2022-04-30,Amount of Issue Size,4300.0,519.24,138.18,4957.42,2024-07-12 13:03:06
1,2022-05-31,Amount of Issue Size,,31387.51,931.6177806000001,32319.1277806,2024-07-12 13:03:06
2,2022-06-30,Amount of Issue Size,,1343.54,125.3,1468.84,2024-07-12 13:03:06
3,2022-07-31,Amount of Issue Size,,221.65,69.098624,290.748624,2024-07-12 13:03:06
4,2022-08-31,Amount of Issue Size,,874.51,78.39,952.9,2024-07-12 13:03:06
5,2022-09-30,Amount of Issue Size,,2413.7360318,298.3073129,2712.0433447,2024-07-12 13:03:06
6,2022-10-31,Amount of Issue Size,,1265.17,205.4259251,1470.5959251000002,2024-07-12 13:03:06
7,2022-11-30,Amount of Issue Size,,10082.82,1651.3238145,11734.1438145,2024-07-12 13:03:06
8,2022-12-31,Amount of Issue Size,,5119.186000000001,115.9908848,5235.176884800001,2024-07-12 13:03:06
9,2023-01-31,Amount of Issue Size,,477.9578,643.8688096000001,1121.8266096000002,2024-07-12 13:03:06
10,2023-02-28,Amount of Issue Size,,84.932,485.089,570.021,2024-07-12 13:03:06
11,2023-03-31,Amount of Issue Size,,995.5686999999999,2069.4934000000003,3065.0621,2024-07-12 13:03:06
12,2023-04-30,Amount of Issue Size,,1110.4074826,870.890314,1981.2977966,2024-07-12 13:03:06
13,2023-05-31,Amount of Issue Size,,4483.6303,2789.91917,7273.54947,2024-07-12 13:03:06
14,2023-06-30,Amount of Issue Size,,1336.9202,225.52395669999999,1562.4441567,2024-07-12 13:03:06
15,2023-07-31,Amount of Issue Size,,4589.9755925,776.9913553,5366.9669478,2024-07-12 13:03:06
16,2023-08-31,Amount of Issue Size,,5124.31,1342.3635768,6466.6735768,2024-07-12 13:03:06
17,2023-09-30,Amount of Issue Size,,9284.99,279.92,9564.91,2024-07-12 13:03:06
18,2023-10-31,Amount of Issue Size,,5428.52,129.6,5558.120000000001,2024-07-12 13:03:06
19,2023-11-30,Amount of Issue Size,,13431.054107,112.17,13543.224107,2024-07-12 13:03:06
20,2023-12-31,Amount of Issue Size,,9533.78,38.0,9571.78,2024-07-12 13:03:06
21,2024-01-31,Amount of Issue Size,,4058.7780999999995,193.51999999999998,4252.2981,2024-07-12 13:03:06
22,2024-02-29,Amount of Issue Size,,7684.10818,7958.5807487,15642.688928700001,2024-07-12 13:03:06
23,2024-03-31,Amount of Issue Size,27.0,3829.4282764,420.34000000000003,4276.7682764,2024-07-12 13:03:06
24,2024-04-30,Amount of Issue Size,17999.9999993,5733.6785199999995,1643.1883126,25376.866831899995,2024-07-12 13:03:06
25,2022-04-30,No of Issues,1.0,9.0,5.0,15.0,2024-07-12 13:03:06
26,2022-05-31,No of Issues,,14.0,5.0,19.0,2024-07-12 13:03:06
27,2022-06-30,No of Issues,,8.0,4.0,12.0,2024-07-12 13:03:06
28,2022-07-31,No of Issues,,11.0,4.0,15.0,2024-07-12 13:03:06
29,2022-08-31,No of Issues,,5.0,4.0,9.0,2024-07-12 13:03:06
30,2022-09-30,No of Issues,,22.0,8.0,30.0,2024-07-12 13:03:06
31,2022-10-31,No of Issues,,21.0,6.0,27.0,2024-07-12 13:03:06
32,2022-11-30,No of Issues,,16.0,4.0,20.0,2024-07-12 13:03:06
33,2022-12-31,No of Issues,,18.0,3.0,21.0,2024-07-12 13:03:06
34,2023-01-31,No of Issues,,12.0,9.0,21.0,2024-07-12 13:03:06
35,2023-02-28,No of Issues,,7.0,10.0,17.0,2024-07-12 13:03:06
36,2023-03-31,No of Issues,,23.0,14.0,37.0,2024-07-12 13:03:06
37,2023-04-30,No of Issues,,10.0,4.0,14.0,2024-07-12 13:03:06
38,2023-05-31,No of Issues,,8.0,6.0,14.0,2024-07-12 13:03:06
39,2023-06-30,No of Issues,,19.0,8.0,27.0,2024-07-12 13:03:06
40,2023-07-31,No of Issues,,23.0,7.0,30.0,2024-07-12 13:03:06
41,2023-08-31,No of Issues,,21.0,10.0,31.0,2024-07-12 13:03:06
42,2023-09-30,No of Issues,,31.0,4.0,35.0,2024-07-12 13:03:06
43,2023-10-31,No of Issues,,31.0,4.0,35.0,2024-07-12 13:03:06
44,2023-11-30,No of Issues,,26.0,4.0,30.0,2024-07-12 13:03:06
45,2023-12-31,No of Issues,,31.0,2.0,33.0,2024-07-12 13:03:06
46,2024-01-31,No of Issues,,23.0,3.0,26.0,2024-07-12 13:03:06
47,2024-02-29,No of Issues,,29.0,6.0,35.0,2024-07-12 13:03:06
48,2024-03-31,No of Issues,1.0,25.0,10.0,36.0,2024-07-12 13:03:06
49,2024-04-30,No of Issues,1.0,27.0,8.0,36.0,2024-07-12 13:03:06
